Ticker,Event_Date,Surprise_Pct,CAR_20d,Profitable_20d
LII,2021-10-25 07:00:00,-5.65,-0.01703913712616989,0
META,2021-10-25 16:00:00,1.32,-0.0355332991577505,0
MSFT,2021-10-26 16:00:00,9.3,0.05438015365085558,1
CHDN,2021-10-27 16:00:00,7.94,-0.11060998902239849,0
TXRH,2021-10-28 16:00:00,-7.23,-0.07482387346034458,0
AAPL,2021-10-28 16:00:00,0.17,0.04881720680502988,1
DECK,2021-10-28 16:00:00,2.7,0.07007226783521836,1
WING,2021-11-03 07:00:00,-17.91,-0.07655958011734032,0
CAKE,2021-11-03 16:00:00,-7.02,-0.03647698438435987,0
QCOM,2021-11-03 16:00:00,12.82,0.3165494754376933,1
FND,2021-11-04 16:00:00,4.85,-0.05091850129545927,0
SFM,2021-11-04 16:00:00,43.59,0.20452003052227707,1
APPF,2021-11-08 16:00:00,-27.37,-0.08410260699915617,0
DUOL,2021-11-10 16:00:00,73.68,-0.5480400026500705,0
ONON,2021-11-16 05:00:00,169.24,0.016815512510677477,1
FIVE,2021-12-01 16:00:00,45.84,-0.03163828011365499,0
OLLI,2021-12-02 16:00:00,-27.72,-0.21789544948958717,0
RH,2021-12-08 16:00:00,6.72,-0.16013381982578379,0
MSFT,2022-01-25 16:00:00,6.97,0.042238192833308874,1
TSLA,2022-01-26 16:00:00,6.88,-0.1521103004374431,0
AAPL,2022-01-27 16:00:00,11.2,0.030261253273292987,1
LII,2022-02-01 07:00:00,18.07,-0.03739901105875443,0
META,2022-02-02 16:00:00,-4.1,-0.3353086986293523,0
QCOM,2022-02-02 16:00:00,7.59,-0.009411377187237835,0
DECK,2022-02-03 16:00:00,4.4,-0.19748642387597548,0
WING,2022-02-16 07:00:00,-23.87,-0.1996730143778429,0
CROX,2022-02-16 07:00:00,13.33,-0.20692565731671808,0
CAKE,2022-02-16 16:00:00,-15.05,-0.0038471409396387823,0
TXRH,2022-02-22 16:00:00,11.01,-0.11381817552487883,0
CHDN,2022-02-23 16:00:00,12.43,0.007572996087637507,1
FND,2022-02-24 16:00:00,-2.43,-0.18846397404898307,0
SFM,2022-02-24 16:00:00,6.67,0.11636649015628242,1
APPF,2022-02-28 16:00:00,125.67,-0.04950822124216714,0
DUOL,2022-03-03 16:00:00,96.06,0.09081001141584977,1
ONON,2022-03-18 06:00:00,-29164.71,0.13830268560742065,1
OLLI,2022-03-23 16:00:00,5.02,0.1872584854263487,1
RH,2022-03-29 16:00:00,1.3,0.017067082146571155,1
FIVE,2022-03-30 07:00:00,0.25,0.04550029076779272,1
TSLA,2022-04-20 16:00:00,42.31,-0.18496732560116702,0
LII,2022-04-25 07:00:00,13.24,-0.05387189381572588,0
MSFT,2022-04-26 16:00:00,1.06,0.036365697787568485,1
QCOM,2022-04-27 16:00:00,10.08,0.06349356383756921,1
META,2022-04-27 16:00:00,6.82,0.07367038291246997,1
CHDN,2022-04-27 16:00:00,3.81,0.016798994733767003,1
CAKE,2022-04-27 16:00:00,-8.14,-0.00464196165325903,0
AAPL,2022-04-28 16:00:00,6.48,-0.04446319205657323,0
WING,2022-05-04 07:00:00,-6.68,-0.1800695354726498,0
